python,javascript,html_css,sql,problem_solving,ml_ai,design,networking,devops,communication,role
0.0,0.563,0.48,0.109,0.267,0.137,0.555,0.0,0.387,0.389,Frontend Developer
0.556,0.852,0.668,0.197,0.874,0.075,0.915,0.068,0.286,0.658,Mobile App Developer
0.531,0.0,0.0,0.493,0.69,0.802,0.0,0.114,0.043,0.519,Data Scientist
0.705,0.0,0.135,0.152,0.502,0.041,0.019,0.622,0.754,0.575,DevOps Engineer
0.097,0.756,0.882,0.077,0.401,0.003,0.682,0.002,0.009,0.636,Frontend Developer
0.159,0.371,0.703,0.126,0.65,0.177,0.946,0.208,0.048,0.739,UI/UX Designer
0.043,0.0,0.504,0.112,0.333,0.009,0.0,0.197,0.574,0.186,QA / Test Engineer
0.557,0.199,0.123,0.65,0.868,0.201,0.419,0.141,0.061,0.772,Data Analyst
0.225,0.047,0.052,0.541,0.754,0.063,0.019,0.769,0.607,0.41,System Administrator
0.486,0.027,0.0,0.949,0.593,0.286,0.411,0.113,0.035,0.699,Data Analyst
0.533,0.454,0.18,0.793,0.847,0.496,0.717,0.156,0.54,0.834,Data Analyst
0.263,0.563,0.563,0.317,0.481,0.078,0.53,0.315,0.1,0.664,Full Stack Developer
0.662,0.34,0.073,0.92,0.801,0.14,0.384,0.399,0.07,0.562,Data Analyst
0.582,0.426,0.269,0.706,0.612,0.076,0.141,0.122,0.643,0.52,QA / Test Engineer
0.987,0.092,0.109,0.796,1.0,0.92,0.025,0.082,0.247,0.407,Data Scientist
0.115,0.056,0.0,0.733,0.5,0.025,0.0,0.5,0.473,0.66,Database Administrator
0.408,0.085,0.0,0.669,0.719,0.042,0.0,0.276,0.037,0.164,Database Administrator
0.163,0.144,0.219,0.177,1.0,0.194,0.185,0.929,0.647,0.302,Network Engineer
0.11,0.077,0.044,0.262,0.839,0.0,0.093,0.84,0.209,0.163,Cybersecurity Analyst
0.106,0.209,0.821,0.008,0.185,0.032,0.984,0.05,0.054,0.883,UI/UX Designer
0.053,0.908,0.897,0.158,0.54,0.097,0.862,0.113,0.21,0.522,Frontend Developer
0.409,0.0,0.113,0.852,0.449,0.123,0.059,0.08,0.011,0.849,Data Analyst
0.231,0.438,0.669,0.389,0.76,0.038,0.941,0.232,0.327,0.996,UI/UX Designer
0.861,0.0,0.0,0.689,0.807,0.279,0.275,0.576,0.6,0.722,Backend Developer
0.025,0.361,0.586,0.0,0.466,0.072,0.994,0.029,0.028,0.867,UI/UX Designer
0.454,0.811,0.544,0.483,0.767,0.149,0.831,0.408,0.05,0.707,Mobile App Developer
0.72,0.765,0.787,0.341,0.73,0.294,0.427,0.717,0.721,0.72,Full Stack Developer
0.04,0.832,0.97,0.228,0.736,0.0,0.815,0.0,0.098,0.797,Frontend Developer
0.545,0.102,0.026,0.839,0.602,0.553,0.274,0.142,0.068,0.691,Data Analyst
0.957,0.126,0.064,0.751,0.91,0.816,0.039,0.038,0.315,0.671,Data Scientist
0.466,0.903,0.197,0.319,0.932,0.069,0.088,0.268,0.082,0.507,QA / Test Engineer
0.079,0.242,0.436,0.0,0.512,0.031,0.928,0.0,0.065,0.876,UI/UX Designer
0.334,0.173,0.0,0.982,0.806,0.022,0.068,0.257,0.426,0.273,Database Administrator
0.352,0.096,0.112,1.0,0.664,0.169,0.388,0.086,0.009,0.723,Data Analyst
0.929,0.109,0.222,0.843,0.883,0.091,0.032,0.276,0.207,0.502,Backend Developer
0.842,0.212,0.038,0.535,0.851,0.726,0.02,0.042,0.203,0.659,Data Scientist
0.124,1.0,0.883,0.107,0.478,0.052,0.85,0.107,0.129,0.407,Frontend Developer
0.0,0.302,0.791,0.099,0.29,0.0,0.988,0.012,0.0,0.891,UI/UX Designer
0.958,0.045,0.167,0.686,0.721,0.899,0.046,0.142,0.297,0.551,Data Scientist
0.731,0.087,0.076,0.515,0.802,0.053,0.078,0.62,0.902,0.678,Cloud Engineer
0.563,0.039,0.033,0.594,0.702,0.033,0.058,0.884,0.865,0.182,Cloud Engineer
0.408,0.0,0.053,0.957,0.662,0.147,0.0,0.496,0.337,0.518,Database Administrator
0.311,0.0,0.127,0.307,0.857,0.061,0.0,0.817,1.0,0.157,DevOps Engineer
0.966,0.207,0.142,0.882,0.865,0.017,0.073,0.304,0.486,0.097,Backend Developer
0.915,0.745,0.611,0.668,0.754,0.195,0.409,0.2,0.261,0.517,Full Stack Developer
1.0,0.037,0.057,0.973,0.887,1.0,0.094,0.053,0.284,0.826,Data Scientist
0.647,0.167,0.0,0.555,0.777,0.131,0.009,0.92,0.827,0.372,System Administrator
0.087,0.231,0.632,0.129,0.401,0.072,0.942,0.017,0.041,0.755,UI/UX Designer
0.104,0.024,0.045,0.296,0.572,0.034,0.02,0.643,0.668,0.145,System Administrator
0.872,0.399,0.05,0.808,0.735,0.214,0.198,0.349,0.311,0.59,Backend Developer
0.933,0.179,0.015,0.374,0.946,0.917,0.055,0.055,0.453,0.148,ML Engineer
0.562,0.109,0.372,0.947,0.521,0.562,0.413,0.224,0.0,0.593,Data Analyst
0.546,0.181,0.25,0.526,0.87,0.0,0.0,0.126,0.367,0.753,QA / Test Engineer
0.755,0.237,0.3,0.837,0.63,0.224,0.398,0.208,0.326,0.903,Data Analyst
0.734,0.841,0.818,0.68,0.703,0.046,0.432,0.096,0.415,0.95,Full Stack Developer
0.252,0.052,0.0,0.0,0.556,0.07,0.105,0.603,0.336,0.198,Network Engineer
0.339,0.896,0.588,0.535,0.656,0.166,0.86,0.143,0.219,0.558,Mobile App Developer
0.466,0.126,0.0,0.629,0.847,0.064,0.079,0.896,0.951,0.402,DevOps Engineer
0.709,0.164,0.102,0.344,0.93,0.05,0.031,0.835,0.335,0.424,Cybersecurity Analyst
0.579,0.161,0.025,0.171,0.902,0.132,0.0,1.0,0.56,0.245,Cybersecurity Analyst
0.625,0.079,0.093,0.252,0.691,0.033,0.026,0.947,0.886,0.514,Cloud Engineer
0.896,0.021,0.234,0.796,0.745,0.236,0.345,0.085,0.129,0.645,Data Analyst
0.702,0.179,0.16,0.951,0.728,0.281,0.156,0.455,0.414,0.639,Database Administrator
0.495,0.024,0.0,0.322,0.672,0.016,0.0,0.972,0.383,0.51,Network Engineer
0.613,0.0,0.11,0.419,0.853,0.095,0.08,0.592,1.0,0.551,DevOps Engineer
0.481,0.0,0.092,0.713,0.764,0.0,0.06,0.432,0.087,0.093,Database Administrator
0.05,0.214,0.383,0.091,0.538,0.034,0.737,0.012,0.078,0.822,UI/UX Designer
0.264,0.066,0.155,0.007,0.645,0.0,0.0,0.663,0.001,0.145,Network Engineer
0.416,0.673,0.492,0.35,0.652,0.382,0.819,0.098,0.214,0.455,Mobile App Developer
0.608,0.798,0.238,0.361,0.525,0.066,0.465,0.009,0.146,0.602,Mobile App Developer
0.714,0.0,0.0,0.692,0.804,0.279,0.088,0.49,0.61,0.406,Backend Developer
0.81,0.391,0.027,0.476,0.708,0.106,0.06,0.665,0.997,0.709,DevOps Engineer
0.091,0.319,0.755,0.079,0.33,0.049,1.0,0.107,0.024,0.932,UI/UX Designer
0.839,0.241,0.081,0.84,0.895,0.134,0.057,0.512,0.591,0.497,Backend Developer
0.865,0.0,0.252,0.807,0.827,0.969,0.202,0.132,0.236,0.685,Data Scientist
0.544,0.141,0.038,0.462,0.886,0.346,0.095,0.792,0.548,0.421,Cybersecurity Analyst
0.753,0.685,0.562,0.666,0.695,0.154,0.512,0.146,0.528,0.79,Full Stack Developer
0.715,0.847,0.708,0.746,0.846,0.162,0.447,0.138,0.485,0.865,Full Stack Developer
0.986,0.154,0.081,0.361,0.958,0.975,0.052,0.187,0.319,0.117,ML Engineer
0.649,0.128,0.0,1.0,0.599,0.326,0.196,0.133,0.077,0.834,Data Analyst
1.0,0.0,0.0,0.463,0.881,0.914,0.001,0.089,0.246,0.374,ML Engineer
0.234,0.024,0.047,0.735,0.273,0.251,0.047,0.095,0.164,0.508,Data Analyst
0.182,0.157,0.071,0.254,0.732,0.02,0.0,0.741,0.765,0.465,System Administrator
0.613,0.025,0.04,0.538,0.703,0.124,0.048,0.754,0.845,0.139,System Administrator
0.138,0.007,0.058,0.123,0.476,0.077,0.0,0.859,0.271,0.343,System Administrator
0.306,0.826,0.979,0.502,0.635,0.277,0.812,0.287,0.274,0.781,Frontend Developer
0.793,0.147,0.138,0.525,0.719,0.125,0.075,0.925,0.863,0.598,DevOps Engineer
0.581,0.739,0.575,0.611,0.787,0.398,0.219,0.318,0.346,0.534,Full Stack Developer
0.271,0.085,0.0,0.264,0.275,0.034,0.017,0.814,0.166,0.362,System Administrator
0.447,0.135,0.0,0.492,0.815,0.0,0.017,0.971,0.992,0.108,Cloud Engineer
0.641,0.271,0.0,0.18,0.818,0.045,0.036,0.9,0.519,0.548,Cybersecurity Analyst
0.65,0.0,0.169,0.421,0.814,0.129,0.0,0.883,0.577,0.324,Cybersecurity Analyst
0.192,0.906,0.68,0.475,0.496,0.004,0.666,0.05,0.318,0.662,Mobile App Developer
0.239,0.845,1.0,0.555,0.614,0.184,0.8,0.173,0.12,0.396,Frontend Developer
0.049,0.299,0.849,0.0,0.329,0.044,0.976,0.082,0.069,0.819,UI/UX Designer
0.603,0.333,0.07,0.862,0.763,0.615,0.425,0.0,0.217,0.517,Data Analyst
0.405,0.0,0.042,0.459,0.839,0.104,0.032,0.907,0.305,0.388,Cybersecurity Analyst
0.923,0.445,0.029,0.972,0.926,0.226,0.178,0.334,0.307,0.526,Backend Developer
0.161,0.43,0.767,0.0,0.227,0.156,0.881,0.252,0.006,0.775,UI/UX Designer
0.982,0.22,0.074,0.577,1.0,0.953,0.073,0.088,0.351,0.392,ML Engineer
1.0,0.303,0.167,0.943,0.895,0.266,0.127,0.503,0.286,0.486,Backend Developer
0.738,0.856,0.861,0.93,0.548,0.133,0.584,0.452,0.572,0.335,Full Stack Developer
0.559,0.383,0.297,0.592,0.73,0.059,0.0,0.136,0.395,0.926,QA / Test Engineer
0.445,0.0,0.0,0.418,0.862,0.096,0.02,0.928,0.551,0.435,Network Engineer
0.549,0.346,0.091,0.4,0.545,0.0,0.075,0.712,0.996,0.67,Cloud Engineer
1.0,0.718,0.0,0.756,0.912,1.0,0.212,0.327,0.261,0.295,Data Scientist
0.468,0.03,0.095,0.269,0.896,0.027,0.121,0.849,0.774,0.583,System Administrator
0.805,0.802,0.809,0.392,0.807,0.037,0.209,0.177,0.444,0.248,Full Stack Developer
0.663,0.116,0.032,0.0,0.684,0.492,0.091,0.119,0.392,0.276,ML Engineer
0.957,0.152,0.079,0.781,0.909,1.0,0.045,0.109,0.247,0.61,Data Scientist
0.657,0.068,0.0,0.776,0.808,0.693,0.11,0.097,0.249,0.507,Data Scientist
0.037,0.066,0.029,0.101,0.563,0.023,0.069,0.954,0.312,0.384,Network Engineer
0.135,0.994,1.0,0.153,0.419,0.034,0.849,0.037,0.054,0.425,Frontend Developer
1.0,0.155,0.0,0.541,1.0,0.938,0.0,0.039,0.272,0.575,Data Scientist
0.388,0.847,0.418,0.307,0.593,0.018,0.623,0.194,0.101,0.504,Mobile App Developer
0.363,0.193,0.094,0.643,0.855,0.274,0.078,1.0,0.934,0.274,DevOps Engineer
0.817,0.298,0.066,0.295,0.886,0.0,0.126,0.571,0.93,0.516,DevOps Engineer
0.133,0.068,0.015,1.0,0.755,0.032,0.0,0.307,0.131,0.137,Database Administrator
0.921,0.224,0.017,0.44,0.893,0.94,0.023,0.005,0.676,0.551,ML Engineer
0.25,0.0,0.079,0.45,0.854,0.0,0.039,0.798,0.976,0.31,DevOps Engineer
0.081,0.102,0.577,0.0,0.347,0.046,0.862,0.098,0.009,0.712,UI/UX Designer
0.206,0.424,0.0,0.525,0.538,0.0,0.0,0.036,0.445,0.108,QA / Test Engineer
0.215,0.11,0.139,1.0,0.879,0.077,0.084,0.266,0.374,0.545,Database Administrator
0.246,0.313,0.333,0.494,0.773,0.014,0.075,0.89,0.399,0.656,Cybersecurity Analyst
0.91,0.388,0.056,0.954,0.905,0.0,0.077,0.273,0.545,0.558,Backend Developer
0.128,0.123,0.079,0.212,0.797,0.131,0.0,0.962,0.303,0.298,Network Engineer
0.476,0.166,0.096,0.648,0.33,0.249,0.264,0.071,0.159,0.554,Data Analyst
0.766,0.135,0.149,0.302,0.821,0.018,0.038,0.787,0.856,0.447,DevOps Engineer
0.034,0.502,0.698,0.157,0.515,0.067,0.978,0.031,0.096,0.772,UI/UX Designer
0.91,0.046,0.117,0.656,0.82,0.858,0.065,0.08,0.0,0.586,Data Scientist
0.0,0.45,0.381,0.356,0.426,0.075,0.349,0.0,0.107,0.056,Mobile App Developer
0.147,0.927,0.729,0.438,0.638,0.245,0.576,0.157,0.392,0.353,Mobile App Developer
0.341,0.0,0.001,0.252,0.477,0.062,0.113,0.893,0.839,0.492,System Administrator
0.575,0.149,0.054,0.724,0.647,0.168,0.058,0.453,0.61,0.232,Database Administrator
0.467,0.196,0.021,0.709,0.723,0.051,0.033,0.724,0.884,0.45,Cloud Engineer
0.467,0.449,0.156,0.472,0.559,0.0,0.279,0.165,0.073,0.728,QA / Test Engineer
0.199,0.404,0.228,0.012,0.714,0.025,0.138,0.236,0.294,0.609,QA / Test Engineer
0.296,0.863,0.608,0.228,0.727,0.024,0.906,0.175,0.184,0.558,Mobile App Developer
0.779,0.002,0.075,0.434,0.645,0.087,0.006,0.694,0.874,0.467,Cloud Engineer
0.615,0.045,0.2,0.439,0.944,0.0,0.0,1.0,0.31,0.604,Cybersecurity Analyst
0.971,0.0,0.004,0.443,0.916,1.0,0.011,0.078,0.225,0.382,ML Engineer
0.746,0.187,0.006,0.366,0.68,0.611,0.2,0.043,0.195,0.047,Data Scientist
0.065,0.086,0.03,0.255,0.864,0.051,0.033,0.692,0.753,0.365,System Administrator
0.769,0.833,0.715,0.33,0.781,0.025,0.387,0.076,0.175,0.257,Full Stack Developer
0.126,0.0,0.012,0.229,0.734,0.069,0.033,0.893,0.546,0.296,Network Engineer
0.239,0.0,0.583,0.007,0.193,0.0,0.925,0.055,0.076,0.982,UI/UX Designer
0.384,0.337,0.149,0.493,0.671,0.052,0.035,0.186,0.457,0.837,QA / Test Engineer
0.731,0.78,0.694,0.686,0.726,0.193,0.375,0.252,0.568,0.632,Full Stack Developer
0.723,0.154,0.073,0.508,0.886,0.103,0.043,0.565,1.0,0.171,DevOps Engineer
0.748,0.191,0.085,0.588,0.702,0.024,0.041,0.609,0.907,0.309,DevOps Engineer
0.936,0.282,0.024,0.655,0.894,0.994,0.078,0.119,0.367,0.665,ML Engineer
0.245,0.845,0.434,0.419,0.843,0.024,0.309,0.052,0.335,0.123,Mobile App Developer
0.926,0.01,0.084,0.409,1.0,0.956,0.011,0.003,0.46,0.436,ML Engineer
0.123,1.0,0.965,0.081,0.112,0.04,0.844,0.091,0.068,0.469,Frontend Developer
0.857,0.174,0.024,0.381,0.882,0.12,0.106,0.884,1.0,0.692,DevOps Engineer
0.999,0.049,0.071,0.318,0.989,0.969,0.017,0.0,0.241,0.313,ML Engineer
0.983,0.193,0.069,0.261,1.0,0.978,0.015,0.105,0.26,0.661,ML Engineer
0.911,0.157,0.122,0.576,0.891,0.962,0.228,0.342,0.0,0.208,ML Engineer
0.89,0.125,0.041,0.779,0.815,1.0,0.124,0.117,0.0,0.841,Data Scientist
0.215,0.138,0.918,0.278,0.426,0.069,0.886,0.027,0.058,0.89,UI/UX Designer
0.255,0.905,0.932,0.27,0.616,0.092,0.6,0.0,0.024,0.623,Frontend Developer
0.606,0.219,0.037,0.252,0.65,0.58,0.0,0.0,0.0,0.141,ML Engineer
0.004,0.307,0.786,0.17,0.283,0.061,0.959,0.0,0.028,0.773,UI/UX Designer
0.346,0.923,0.437,0.101,0.276,0.024,0.514,0.0,0.203,0.267,Mobile App Developer
0.169,0.885,0.386,0.408,0.417,0.032,0.446,0.203,0.0,0.44,Mobile App Developer
0.705,0.222,0.441,0.613,0.7,0.224,0.196,0.608,0.85,0.691,DevOps Engineer
0.619,0.138,0.187,0.605,0.61,0.26,0.0,0.011,0.173,0.485,Data Analyst
0.103,0.052,0.727,0.08,0.82,0.032,1.0,0.084,0.087,0.953,UI/UX Designer
0.501,0.026,0.0,0.367,0.628,0.106,0.012,0.948,0.38,0.648,Network Engineer
0.62,0.269,0.411,0.427,0.731,0.072,0.08,0.051,0.359,0.856,QA / Test Engineer
0.985,0.118,0.044,0.706,0.871,0.921,0.112,0.052,0.633,0.446,ML Engineer
0.341,0.782,0.625,0.244,0.639,0.045,0.823,0.175,0.161,0.445,Mobile App Developer
0.0,0.486,0.729,0.323,0.399,0.165,0.937,0.172,0.144,0.868,UI/UX Designer
0.065,0.101,0.638,0.145,0.362,0.065,0.924,0.023,0.021,0.794,UI/UX Designer
0.639,0.64,0.2,0.484,0.656,0.093,0.059,0.218,0.238,0.598,QA / Test Engineer
0.041,0.615,1.0,0.0,0.704,0.0,0.982,0.025,0.104,0.713,UI/UX Designer
0.761,0.596,0.436,0.799,0.908,0.25,0.141,0.204,0.737,0.0,Backend Developer
0.299,0.846,0.828,0.431,0.608,0.03,0.709,0.097,0.47,0.676,Frontend Developer
0.121,0.777,0.502,0.539,0.667,0.05,0.814,0.0,0.078,0.441,Mobile App Developer
0.431,0.039,0.197,1.0,0.356,0.338,0.131,0.0,0.0,0.812,Data Analyst
0.752,0.965,0.357,1.0,0.677,0.151,0.735,0.008,0.23,0.606,Mobile App Developer
0.139,0.0,0.144,0.082,0.693,0.0,0.054,0.925,0.288,0.694,Network Engineer
0.815,0.0,0.103,0.797,0.836,1.0,0.157,0.0,0.106,0.463,Data Scientist
0.432,0.12,0.023,0.262,0.815,0.051,0.0,0.745,0.99,0.378,DevOps Engineer
0.162,0.936,0.554,0.522,0.812,0.293,0.581,0.121,0.556,0.374,Mobile App Developer
0.104,0.0,0.721,0.016,0.484,0.039,0.975,0.017,0.02,0.837,UI/UX Designer
0.077,0.237,0.043,0.759,0.373,0.05,0.0,0.005,0.402,0.3,Database Administrator
0.702,0.146,0.125,0.0,0.417,0.693,0.06,0.027,0.272,0.409,ML Engineer
0.321,0.064,0.011,0.364,0.649,0.031,0.012,0.961,0.63,0.479,Network Engineer
0.064,0.505,0.877,0.088,0.491,0.071,0.935,0.057,0.072,0.836,UI/UX Designer
0.371,0.294,0.054,0.942,0.834,0.075,0.007,0.318,0.475,0.205,Database Administrator
0.315,0.063,0.068,0.114,0.746,0.0,0.0,0.958,0.548,0.454,Network Engineer
0.293,0.116,0.036,0.64,0.757,0.057,0.047,0.928,0.663,0.654,System Administrator
1.0,0.126,0.058,1.0,0.777,0.0,0.119,0.417,0.251,0.196,Backend Developer
0.332,0.141,0.315,0.491,0.662,0.0,0.144,0.0,0.21,0.582,QA / Test Engineer
0.439,0.776,0.504,0.413,0.769,0.0,0.428,0.245,0.183,0.475,Mobile App Developer
0.775,0.302,0.132,0.961,0.946,0.22,0.112,0.564,0.432,0.208,Backend Developer
0.325,0.079,0.131,0.547,1.0,0.059,0.019,0.944,0.632,0.615,Cybersecurity Analyst
0.156,0.527,0.419,0.292,0.635,0.032,0.432,0.023,0.0,0.227,Mobile App Developer
0.996,0.031,0.014,0.477,1.0,0.926,0.1,0.0,0.323,0.386,ML Engineer
0.978,0.173,0.064,0.839,0.997,1.0,0.17,0.016,0.18,0.659,Data Scientist
0.0,0.409,0.8,0.033,0.636,0.004,0.943,0.025,0.087,0.866,UI/UX Designer
0.39,0.032,0.087,0.951,0.557,0.294,0.211,0.074,0.2,0.74,Data Analyst
0.982,0.033,0.038,0.368,0.981,0.973,0.009,0.125,0.26,0.248,ML Engineer
0.944,0.042,0.07,0.658,0.906,0.933,0.078,0.187,0.569,0.543,ML Engineer
0.0,0.135,0.644,0.074,0.331,0.078,1.0,0.0,0.012,0.674,UI/UX Designer
0.847,0.728,0.684,0.616,0.703,0.055,0.481,0.02,0.375,0.686,Full Stack Developer
0.808,0.0,0.241,0.175,0.921,0.0,0.103,0.604,0.998,0.465,DevOps Engineer
0.071,1.0,1.0,0.455,0.363,0.028,0.984,0.067,0.254,0.534,Frontend Developer
0.892,0.174,0.066,0.7,0.922,0.707,0.285,0.038,0.117,0.641,Data Scientist
0.913,0.078,0.0,0.437,0.94,1.0,0.043,0.0,0.315,0.42,ML Engineer
0.128,0.396,0.619,0.098,0.306,0.074,0.968,0.06,0.0,0.682,UI/UX Designer
0.136,0.535,0.286,0.0,0.507,0.043,0.135,0.035,0.0,0.314,QA / Test Engineer
0.749,0.145,0.163,0.345,0.99,0.0,0.103,0.852,0.155,0.598,Cybersecurity Analyst
0.435,0.069,0.095,0.0,0.948,0.266,0.126,0.994,0.852,0.722,Network Engineer
0.915,0.2,0.258,0.673,0.715,0.935,0.052,0.031,0.186,0.453,Data Scientist
0.606,0.149,0.068,0.494,0.728,0.05,0.011,0.916,0.164,0.697,Cybersecurity Analyst
0.651,0.659,0.639,0.712,0.81,0.236,0.479,0.316,0.261,0.98,Full Stack Developer
0.249,0.323,0.0,0.998,0.715,0.24,0.192,0.293,0.325,0.591,Database Administrator
0.907,0.262,0.093,0.891,0.712,0.19,0.036,0.389,0.111,0.235,Backend Developer
0.554,0.055,0.095,0.587,0.947,0.04,0.003,0.992,0.543,0.275,Cybersecurity Analyst
0.822,0.078,0.139,0.952,0.861,0.869,0.155,0.051,0.288,0.541,Data Scientist
0.638,0.392,0.241,0.518,1.0,0.056,0.24,0.053,0.301,0.628,QA / Test Engineer
0.949,0.074,0.068,0.642,0.916,0.889,0.05,0.144,0.577,0.534,ML Engineer
0.916,0.107,0.112,0.788,0.81,0.942,0.106,0.029,0.265,0.595,Data Scientist
0.296,0.14,0.062,0.154,0.667,0.032,0.1,0.879,0.538,0.492,Network Engineer
0.219,0.062,0.041,0.233,0.746,0.082,0.0,0.859,0.49,0.656,Network Engineer
0.033,0.117,0.047,0.424,0.686,0.059,0.053,0.705,0.381,0.461,System Administrator
0.486,0.192,0.155,0.436,0.909,0.335,0.023,0.704,0.89,0.391,Cloud Engineer
0.969,0.301,0.0,0.832,0.839,0.0,0.061,0.25,0.257,0.243,Backend Developer
0.965,0.061,0.108,0.253,0.947,0.97,0.0,0.066,0.298,0.246,ML Engineer
0.181,0.832,0.576,0.456,0.588,0.274,0.816,0.158,0.316,0.271,Mobile App Developer
0.669,0.286,0.209,0.598,0.531,0.074,0.052,0.045,0.31,0.561,QA / Test Engineer
0.018,1.0,0.947,0.15,0.28,0.045,0.81,0.033,0.106,0.349,Frontend Developer
0.388,0.039,0.0,0.941,0.748,0.123,0.084,0.544,0.516,0.232,Database Administrator
0.979,0.031,0.049,0.192,1.0,1.0,0.055,0.059,0.401,0.313,ML Engineer
0.352,0.064,0.089,1.0,0.324,0.285,0.235,0.0,0.148,0.773,Data Analyst
0.802,0.052,0.05,0.32,0.415,0.116,0.195,0.122,0.0,0.556,Data Analyst
0.745,0.148,0.08,0.149,0.716,0.038,0.025,0.875,0.956,0.379,Cloud Engineer
0.099,0.202,0.042,0.953,0.83,0.031,0.055,0.311,0.07,0.404,Database Administrator
0.967,0.159,0.483,0.849,0.788,0.894,0.529,0.26,0.605,0.705,Data Scientist
0.169,0.013,0.039,0.909,0.645,0.105,0.088,0.714,0.476,0.354,Database Administrator
0.254,0.0,0.053,0.995,0.703,0.021,0.001,0.562,0.182,0.471,Database Administrator
0.753,0.759,0.817,0.35,0.778,0.087,0.339,0.132,0.243,0.361,Full Stack Developer
0.304,0.0,0.074,0.35,0.871,0.0,0.0,0.834,0.97,0.225,Cloud Engineer
0.366,0.028,0.042,0.248,0.396,0.068,0.0,0.907,0.612,0.079,System Administrator
0.012,0.969,0.964,0.127,0.581,0.0,0.936,0.117,0.267,0.352,Frontend Developer
0.586,0.087,0.0,0.431,0.781,0.088,0.136,0.974,0.681,0.364,System Administrator
0.37,0.02,0.0,0.067,0.748,0.049,0.049,0.731,0.961,0.32,Cloud Engineer
0.82,0.19,0.182,0.412,0.821,0.065,0.042,0.746,0.859,0.772,DevOps Engineer
0.644,0.166,0.064,0.356,0.811,0.069,0.011,0.892,0.574,0.264,Cybersecurity Analyst
0.838,0.283,0.238,0.876,0.808,0.173,0.0,0.432,0.164,0.285,Backend Developer
0.469,0.955,0.601,0.42,0.789,0.055,0.649,0.025,0.286,0.349,Mobile App Developer
0.93,0.0,0.077,0.922,0.964,0.897,0.116,0.046,0.028,0.799,Data Scientist
0.66,0.0,0.134,0.396,0.89,0.058,0.032,0.876,0.582,0.648,Cybersecurity Analyst
0.309,0.027,0.0,0.514,0.622,0.0,0.0,0.607,0.952,0.608,System Administrator
0.176,0.0,0.013,0.647,0.265,0.005,0.04,0.538,0.562,0.068,System Administrator
0.653,0.0,0.167,0.472,0.571,0.369,0.012,0.024,0.183,0.279,Data Scientist
0.845,0.137,0.051,0.706,0.739,0.992,0.002,0.035,0.412,0.591,Data Scientist
0.359,0.004,0.041,0.957,0.392,0.182,0.154,0.0,0.077,0.773,Data Analyst
0.156,0.037,0.0,1.0,0.807,0.052,0.009,0.245,0.418,0.13,Database Administrator
0.946,0.0,0.0,0.511,0.9,0.945,0.074,0.062,0.628,0.357,ML Engineer
0.498,0.099,0.152,0.613,0.835,0.068,0.231,0.226,0.416,0.524,QA / Test Engineer
0.549,0.05,0.07,0.933,0.757,0.359,0.502,0.093,0.0,0.671,Data Analyst
0.791,0.141,0.0,0.914,0.877,0.226,0.437,0.069,0.121,0.7,Data Analyst
0.083,0.385,0.0,0.311,0.845,0.04,0.197,0.172,0.219,0.481,QA / Test Engineer
0.679,0.249,0.036,0.283,0.955,0.086,0.0,0.899,0.532,0.53,Cybersecurity Analyst
0.642,0.1,0.034,0.296,0.85,0.11,0.033,0.995,0.149,0.344,Cybersecurity Analyst
1.0,0.311,0.089,0.959,0.905,0.196,0.246,0.258,0.617,0.585,Backend Developer
0.39,0.821,0.053,0.441,0.497,0.035,0.715,0.01,0.069,0.639,Mobile App Developer
0.803,0.78,0.716,0.722,0.758,0.041,0.469,0.383,0.315,0.593,Full Stack Developer
0.618,0.016,0.132,0.667,0.59,0.675,0.004,0.004,0.0,0.349,Data Analyst
0.898,0.0,0.038,0.678,0.956,0.876,0.062,0.271,0.516,0.246,ML Engineer
0.037,0.037,0.88,0.0,0.236,0.0,0.961,0.04,0.009,0.905,UI/UX Designer
0.226,0.15,0.042,0.33,0.54,0.007,0.0,0.865,0.554,0.631,System Administrator
0.944,0.122,0.097,0.895,0.906,0.98,0.168,0.045,0.008,0.417,Data Scientist
0.079,0.341,0.745,0.116,0.201,0.0,0.885,0.0,0.124,0.454,UI/UX Designer
0.596,0.239,0.184,0.971,0.666,0.215,0.189,0.585,0.663,0.386,Database Administrator
0.807,0.123,0.091,0.921,0.835,0.601,0.493,0.021,0.108,0.82,Data Analyst
1.0,0.035,0.053,0.714,0.906,0.955,0.121,0.101,0.31,0.217,ML Engineer
0.194,0.0,0.066,0.2,0.424,0.016,0.027,0.998,0.036,0.223,Network Engineer
0.568,0.152,0.0,0.536,0.867,0.066,0.084,0.695,0.956,0.683,Cloud Engineer
0.975,0.245,0.054,0.705,0.99,0.954,0.116,0.106,0.269,0.254,ML Engineer
0.078,0.761,0.685,0.0,0.608,0.096,0.901,0.0,0.0,0.972,UI/UX Designer
0.981,0.143,0.084,0.46,0.989,0.929,0.002,0.023,0.813,0.335,ML Engineer
0.474,0.774,0.807,0.581,0.619,0.098,0.546,0.176,0.353,0.106,Mobile App Developer
0.592,0.129,0.113,0.27,0.625,0.029,0.068,0.75,0.412,0.42,Cybersecurity Analyst
0.035,0.744,0.89,0.416,0.449,0.096,0.896,0.115,0.0,0.446,Frontend Developer
0.725,0.133,0.09,0.279,0.769,0.0,0.066,0.836,0.963,0.573,Cloud Engineer
0.968,0.127,0.094,0.595,0.832,0.935,0.166,0.103,0.246,0.695,Data Scientist
